balance, wins, losses, draws, 
0, 0, 0, 1000, 
1, 0, 0, 1000, 
2, 0, 0, 1000, 
3, 0, 0, 1000, 
4, 371, 629, 0, 
5, 359, 641, 0, 
6, 368, 632, 0, 
7, 370, 630, 0, 
8, 421, 579, 0, 
9, 568, 432, 0, 
10, 558, 442, 0, 
11, 608, 392, 0, 
12, 607, 393, 0, 
13, 620, 380, 0, 
14, 591, 409, 0, 
15, 647, 353, 0, 
16, 703, 297, 0, 
17, 719, 281, 0, 
18, 726, 274, 0, 
19, 696, 304, 0, 
20, 711, 289, 0, 
21, 742, 258, 0, 
22, 739, 261, 0, 
23, 754, 246, 0, 
24, 760, 240, 0, 
25, 775, 225, 0, 
26, 771, 229, 0, 
27, 764, 236, 0, 
28, 786, 214, 0, 
29, 796, 204, 0, 
30, 803, 197, 0, 
31, 823, 177, 0, 
32, 847, 153, 0, 
33, 822, 178, 0, 
34, 826, 174, 0, 
35, 820, 180, 0, 
36, 853, 147, 0, 
37, 836, 164, 0, 
38, 820, 180, 0, 
39, 863, 137, 0, 
40, 865, 135, 0, 
41, 855, 145, 0, 
42, 853, 147, 0, 
43, 870, 130, 0, 
44, 847, 153, 0, 
45, 876, 124, 0, 
46, 859, 141, 0, 
47, 847, 153, 0, 
48, 868, 132, 0, 
49, 875, 125, 0, 
50, 876, 124, 0, 
51, 871, 129, 0, 
52, 889, 111, 0, 
53, 887, 113, 0, 
54, 887, 113, 0, 
55, 885, 115, 0, 
56, 893, 107, 0, 
57, 876, 124, 0, 
58, 889, 111, 0, 
59, 891, 109, 0, 
60, 875, 125, 0, 
61, 885, 115, 0, 
62, 878, 122, 0, 
63, 891, 109, 0, 
64, 914, 86, 0, 
65, 897, 103, 0, 
66, 909, 91, 0, 
67, 902, 98, 0, 
68, 887, 113, 0, 
69, 921, 79, 0, 
70, 918, 82, 0, 
71, 901, 99, 0, 
72, 910, 90, 0, 
73, 915, 85, 0, 
74, 905, 95, 0, 
75, 923, 77, 0, 
76, 911, 89, 0, 
77, 909, 91, 0, 
78, 899, 101, 0, 
79, 925, 75, 0, 
80, 906, 94, 0, 
81, 912, 88, 0, 
82, 914, 86, 0, 
83, 910, 90, 0, 
84, 920, 80, 0, 
85, 916, 84, 0, 
86, 912, 88, 0, 
87, 920, 80, 0, 
88, 929, 71, 0, 
89, 915, 85, 0, 
90, 920, 80, 0, 
91, 920, 80, 0, 
92, 923, 77, 0, 
93, 912, 88, 0, 
94, 928, 72, 0, 
95, 923, 77, 0, 
96, 922, 78, 0, 
97, 921, 79, 0, 
98, 941, 59, 0, 
99, 925, 75, 0, 
100, 918, 82, 0, 
101, 930, 70, 0, 
102, 946, 54, 0, 
103, 934, 66, 0, 
104, 940, 60, 0, 
105, 937, 63, 0, 
106, 933, 67, 0, 
107, 943, 57, 0, 
108, 942, 58, 0, 
109, 941, 59, 0, 
110, 946, 54, 0, 
111, 942, 58, 0, 
112, 936, 64, 0, 
113, 934, 66, 0, 
114, 938, 62, 0, 
115, 940, 60, 0, 
116, 937, 63, 0, 
117, 944, 56, 0, 
118, 951, 49, 0, 
119, 944, 56, 0, 
120, 950, 50, 0, 
121, 947, 53, 0, 
122, 946, 54, 0, 
123, 934, 66, 0, 
124, 952, 48, 0, 
125, 943, 57, 0, 
126, 951, 49, 0, 
127, 960, 40, 0, 
128, 955, 45, 0, 
129, 957, 43, 0, 
130, 941, 59, 0, 
131, 949, 51, 0, 
132, 957, 43, 0, 
133, 961, 39, 0, 
134, 951, 49, 0, 
135, 943, 57, 0, 
136, 958, 42, 0, 
137, 964, 36, 0, 
138, 957, 43, 0, 
139, 950, 50, 0, 
140, 959, 41, 0, 
141, 952, 48, 0, 
142, 955, 45, 0, 
143, 963, 37, 0, 
144, 944, 56, 0, 
145, 956, 44, 0, 
146, 956, 44, 0, 
147, 967, 33, 0, 
148, 956, 44, 0, 
149, 963, 37, 0, 
150, 953, 47, 0, 
151, 951, 49, 0, 
152, 963, 37, 0, 
153, 970, 30, 0, 
154, 971, 29, 0, 
155, 951, 49, 0, 
156, 969, 31, 0, 
157, 961, 39, 0, 
158, 972, 28, 0, 
159, 964, 36, 0, 
160, 958, 42, 0, 
161, 954, 46, 0, 
162, 967, 33, 0, 
163, 958, 42, 0, 
164, 968, 32, 0, 
165, 950, 50, 0, 
166, 960, 40, 0, 
167, 959, 41, 0, 
168, 951, 49, 0, 
169, 957, 43, 0, 
170, 973, 27, 0, 
171, 956, 44, 0, 
172, 960, 40, 0, 
173, 965, 35, 0, 
174, 952, 48, 0, 
175, 964, 36, 0, 
176, 959, 41, 0, 
177, 967, 33, 0, 
178, 954, 46, 0, 
179, 949, 51, 0, 
180, 961, 39, 0, 
181, 969, 31, 0, 
182, 972, 28, 0, 
183, 963, 37, 0, 
184, 971, 29, 0, 
185, 966, 34, 0, 
186, 953, 47, 0, 
187, 960, 40, 0, 
188, 968, 32, 0, 
189, 974, 26, 0, 
190, 956, 44, 0, 
191, 967, 33, 0, 
192, 954, 46, 0, 
193, 967, 33, 0, 
194, 956, 44, 0, 
195, 959, 41, 0, 
196, 971, 29, 0, 
197, 961, 39, 0, 
198, 966, 34, 0, 
199, 963, 37, 0, 
200, 957, 43, 0, 
201, 974, 26, 0, 
202, 964, 36, 0, 
203, 964, 36, 0, 
204, 962, 38, 0, 
205, 972, 28, 0, 
206, 971, 29, 0, 
207, 977, 23, 0, 
208, 972, 28, 0, 
209, 964, 36, 0, 
210, 969, 31, 0, 
211, 975, 25, 0, 
212, 971, 29, 0, 
213, 979, 21, 0, 
214, 967, 33, 0, 
215, 962, 38, 0, 
